brand,total,severe,serious,industry,first_year,last_year,severe_rate,peak_year,peak_count,peak_ratio,onset_year,onset_ratio,is_spike,watch_score
TRIVEREX MALE ENHANCEMENT,27,25,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2012,92.6,2012,27,27.0,,0.0,True,94.3
ALL DAY ENERGY GREENS,183,109,183,Vit/Min/Prot/Unconv Diet(Human/Animal),2016,2017,59.6,2016,181,90.5,,0.0,True,93.6
ALL DAY ENERGY GREENS FRUITY,111,62,111,Vit/Min/Prot/Unconv Diet(Human/Animal),2016,2016,55.9,2016,111,111.0,,0.0,True,92.7
BENEFIBER WITH WHEAT DEXTRIN (NCH) WHEAT DEXTRIN POWDER,33,20,33,Vit/Min/Prot/Unconv Diet(Human/Animal),2013,2014,60.6,2013,32,32.0,,0.0,True,90.6
NAC MARKETING AGELESS MALE TABLET,27,17,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2014,63.0,2014,27,27.0,,0.0,True,89.7
NAC MARKETING SUPER BETA PROSTATE,34,18,34,Vit/Min/Prot/Unconv Diet(Human/Animal),2014,2015,52.9,2014,33,33.0,,0.0,True,89.0
GO RUBY GO,28,15,28,Vit/Min/Prot/Unconv Diet(Human/Animal),2016,2016,53.6,2016,28,28.0,,0.0,True,88.0
NEW VITALITY SUPER BETA PROSTATE,27,23,26,Vit/Min/Prot/Unconv Diet(Human/Animal),2012,2015,85.2,2013,24,16.0,,0.0,True,87.7
ALL DAY ENERGY GREENS.,27,14,27,Vit/Min/Prot/Unconv Diet(Human/Animal),2016,2016,51.9,2016,27,27.0,,0.0,True,87.1
CHOBANI YOGURT,84,33,53,Milk/Butter/Dried Milk Prod,2011,2017,39.3,2013,78,78.0,,0.0,True,85.2
CHOBANI GREEK YOGURT,53,21,29,Milk/Butter/Dried Milk Prod,2010,2013,39.6,2013,51,51.0,,0.0,True,84.6
ISAGENIX ISAFLUSH,21,21,21,Vit/Min/Prot/Unconv Diet(Human/Animal),2010,2016,100.0,2015,13,8.7,,0.0,True,84.5
OXYELITE PRO,79,51,70,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2016,64.6,2013,58,14.5,2013.0,7.2,True,84.2
HYDROXYCUT,171,97,150,Vit/Min/Prot/Unconv Diet(Human/Animal),2004,2017,56.7,2009,99,16.5,2009.0,8.2,True,84.1
TRIVEREX,50,37,48,Vit/Min/Prot/Unconv Diet(Human/Animal),2011,2013,74.0,2012,42,10.5,,0.0,True,82.7
